who_won_bid,trump,trick_points,ace_hearts,ace_spades,ace_diamonds,ace_clubs,ten_hearts,ten_spades,ten_diamonds,ten_clubs,king_hearts,king_spades,king_diamonds,king_clubs,queen_hearts,queen_spades,queen_diamonds,queen_clubs,jack_hearts,jack_spades,jack_diamonds,jack_clubs,day_of_week,date,time
me,diamonds,33,1,4,0,0,2,3,0,0,3,2,0,0,4,1,0,0,0,0,0,0,Sun,2019-08-25,17:38
me,diamonds,20,1,4,0,0,2,3,0,0,3,2,0,0,4,1,0,0,0,0,0,0,Mon,2019-08-26,08:10
me,diamonds,23,1,4,0,0,2,3,0,0,3,2,0,0,4,1,0,0,0,0,0,0,Mon,2019-08-26,08:42
me,diamonds,25,1,4,0,0,2,3,0,0,3,2,0,0,4,1,0,0,0,0,0,0,Mon,2019-08-26,08:44
